а/ч	ампер-час
АА	анонимные алкоголики
АБС	автоматизированная банковская система
ава	аватар
АВАКС	awacs
АВД	аварийное выключение двигателя
авиа	авиация
авиабензин	авиационный бензин
авиабой	авиационный бой
авиаотряд	авиационный отряд
авиапредприятие	авиационное предприятие
авиаудар	авиационный удар
АВК	аэровокзальный комплекс
АВМ	аналоговая вычислительная машина
АВНОЮ	Антифашистское вече народного освобождения Югославии
АВР	аттестационно-выпускная работа
автобизнес	автомобильный бизнесс
АГВ	автоматический газовый водонагреватель
АГГ	антигемофильный глобулин
агитискусство	агитационное искусство
АГО	автогражданская ответственность
АГП	автомат гашения поля
агропром	агропромышленный комплекс
агрорайон 	сельскохозяйственный район
агроучасток	сельскохозяйственный участок
АГС	альтернативная гражданская служба
АГУ	Абхазский государственный университет
АД	авиадесант
АДА	автоматический дрейфующий аэростат
АДГ	авиационный дозирующий генератор
АДИБ	авиационная дивизия истребителей-бомбардировщиков
АДМ	автодегазационная машина
админздание	административное здание
админресурс	административный ресурс
адмотдел	административный отдел
адмтехперсонал	административно-технический персонал
адмчасть	административная часть
АДТ	аэродинамическая труба
АДФ	аденозиндифосфат
АЕБ	Ассоциация Европейского Бизнеса
АЖ	апелляционное жюри
азик	азербайджанец
АЗК	автозаправочный комплекс
АЗС	автозаправочная станция
АЗУ	автомобильное зарядное устройство
АИК	аппарат искусственного кровообращения
АИР	аппарат исправления речи
АИС	автоматизированная информационная система
АИСТ	агрегат искусственной сушки травы
АИФ	аргументы и факты
АК	автомат Калашникова
АКБ	акционерный коммерческий банк
АКВР	агентство по контролю над вооружениями и разоружению
АКДС	адсорбированный коклюшно-дифтерийно-столбнячный анатоксин
АКМ	автомат Калашникова модернизированный
АКП	автоматическая коробка передач
АКПП	автоматическая коробка переключения передач
АКТГ	адренокортикотропный гормон
АКЦ	Астрокосмический центр
АЛО	астролевитирующий объект
АЛС	автоматическая лунная станция
АЛУ	арифметическое логическое устройство
АМС	автоматическая межпланетная станция
амстафф	американский стаффордширский терьер
АМСУ	администрация местного самоуправления
АМТС	автоматическая междугородная телефонная станция
АМФ	аденозинмонофосфат
АН	академия наук
анал	аналитическая геометрия
АНБ	Агентство национальной безопасности
АНИС	Американский национальный институт стандартов
АНО	автономная некоммерческая организация
АНТК	авиационный научно-технический комплекс 
АО	акционерное общество
АОЗТ	акционерное общество закрытого типа
АОН	автоматический определитель номера
АООТ	акционерное общество открытого типа
АП	Ассошиэйтед пресс
АПГ	авианосная противолодочная группа
АПК	агропромышленный комплекс
АПЛ	атомная подводная лодка
АПН	академия педагогических наук
АР	авиационная разведка
АРБ	Ассоциация российских банков
АРВ	автоматический радиоветромер
АРГ	аварийно-ремонтная группа
АРЗ	авторемонтный завод
АРК	Автоматический радиокомпас
АРМ	автоматизированное рабочее место
АРМС	автоматическая радиометеорологическая станция
АРС	автоматическое регулирование скорости
артбой	артиллерийский бой
артгруппа	артиллерийская группа
артканонада	артиллерийская канонада
артналёт	артиллерийский налёт
артобстрел	артиллерийский обстрел
артподготовка	артиллерийская подготовка
артудар	артиллерийский удар
артучилище	артиллерийское училище
АРУ	автоматическая регулировка усиления
АС	автоматизированная система
АСБО	Африканская сеть бассейновых организаций
АСЕАН	Ассоциация стран Юго-Восточной Азии
АСКП	автоматизированная система контроля пассажиров
