ВКК	врачебно-консультационная комиссия
ВКП	Всесоюзная коммунистическая партия
ВКС	военно-космические силы
ВЛКСМ	Всесоюзный Ленинский коммунистический союз молодёжи
ВМР	вторичные материальные ресурсы
ВМС	военно-морские силы
ВМФ	военно-морской флот
ВНИИ	всероссийский научно-исследовательский институт
ВО	высшее образование
ВОВ	Великая Отечественная война
военкомат	военный комиссариат
военрук	военный руководитель
ВОЗ	Всемирная организация здравоохранения
ВОИР	Всероссийское Общество Изобретателей и Рационализаторов
ВОИС	Всемирная организация интеллектуальной собственности
ВПК	военно-промышленный комплекс
ВПП	взлётно-посадочная полоса
ВПЧ	вирус папилломы человека
ВРП	валовой региональный продукт
врэвакуант	временно эвакуированный
ВРЭП	Всеобъемлющее региональное экономическое партнёрство
ВС	вооружённые силы
ВСМ	высокоскоростная магистраль
ВСНХ	Высший совет народного хозяйства
ВТО	Всемирная Торговая Организация
ВУ	взрывное устройство
вулканоструктура	вулканическая 
ВХЛ	Высшая хоккейная лига
ВЦИК	Всероссийский центральный исполнительный комитет
г	грамм
г.	год
ГА	генетический алгоритм
ГАБТ	Государственный академический Большой театр России
ГАЗ	Горьковский автомобильный завод
ГАИ	Государственная автомобильная инспекция
ГАСО	Государственный академический симфонический оркестр
ГАЭС	гидроаккумулирующая электростанция
Гб	гигабайт
ГБ	государственная безопасность
ГБУ	государственное бюджетное учреждение
ГБУЗ	государственное бюджетное учреждение здравоохранения
ГБЦ	головка блока цилиндров
ГВЗ	групповое время задержки
ГВП	Главная военная прокуратура
ГВСУ	Главное военное следственное управление
ГГц	гигагерц
ГДР	Германская
гендиректор	генеральный директор
геотраверс	геологический 
ГеоТЭС	геотермальная электростанция
ГИА	государственная итоговая аттестация
ГИБДД	Государственная инспекция безопасности дорожного движения
гидроусилитель	гидравлический усилитель
ГИП	графический интерфейс пользователя
ГК	Генеральное консульство
ГКБ	городская клиническая больница
ГКВВ	главное командование внутренних войск
ГКН	государственный кадастр недвижимости
ГКО	государственный комитет обороны
ГКЧП	Государственный комитет по чрезвычайному положению
ГЛОНАСС	ГЛОбальная НАвигационная Спутниковая Система
гм	гектометр
ГМИ	генетически модифицированные источники
ГМО	генетически модифицированный организм
ГМП	генетически модифицированный продукт
ГМФ	гексаметафосфат
ГНС	Государственная налоговая служба
ГО	гражданская оборона
ГОА	глубоководный обтекаемый аппарат
ГОЗ	государственный оборонный заказ
ГОП	государственное общество призора
горисполком	городской исполнительный комитет
гороно	городской отдел народного образования
гос-	Государственный
ГОС	Государственный Образовательный Стандарт
госдиплом	государственный диплом
госдолг	государственный долг
Госкомстат	Государственный комитет по статистике
госмагазин	государственный магазин 
госналогслужба	государственная налоговая служба
ГосНИИ	государственный научно-исследовательский институт
госсанэпиднадзор	Государственный санитарно-эпидемиологический надзор
госслужащий	государственный служащий
госслужба	государственная служба
госТВ	государственное телевидение
госфинансирование	государственное финансирование
ГОЭЛРО	Государственная электрификация России
ГПВ	государственная программа (развития) вооружений
ГПК	гражданский процессуальный кодекс
ГПС	Государственная противопожарная служба
ГПТУ	городское профессионально-техническое училище
гравиплатформа	гравитационная платформа 
ГРЗ	государственный регистрационный знак
ГРИП	глубина резко изображаемого пространства
ГРУ	Главное разведывательное управление
ГРЭС	государственная районная электростанция
ГСВЦ	государственная сеть вычислительных центров
ГСМ	горюче-смазочные материалы
ГСН	головка самонаведения
ГСП	гипсо-стружечная плита
ГССР	Грузинская Советская Социалистическая Республика
ГСЧС	Государственная служба Украины по чрезвычайным ситуациям
ГТГ	Государственная Третьяковская галерея
ГТК	Государственный таможенный комитет
ГТО	готов к труду и обороне
ГУ	Главное управление
ГУБОП	главное управление по борьбе с организованной преступностью
ГУВД	главное управление внутренних дел
ГУГБ	Главное управление государственной безопасности
ГУК	Главное управление кинематографии
ГУЛАГ	Главное управление лагерями
ГУОООП	главное управление по обеспечению охраны общественного порядка
ГУП	государственное унитарное предприятие
ГФС	государственная фельдъегерская служба
ГЦКЗ	государственный центральный концертный зал
ГЧП	государственно-частное партнёрство
ГШ	Грязев и Шипунов (в маркировке оружия)
ГЭК	государственная экзаменационная комиссия
ГЭС	гидроэлектростанция
Д/З	домашнее задание
ДАД	дистолическое артериальное давление
ДАИШ	ИГИЛ
ДВКД	десантно-вертолётный корабль-док
ДВС	двигатель внутреннего сгорания
ДДТ	дихлордифенил-трихлорэтан
дегенверх	дежурный генерала при штабе верховного главнокомандующего в русской армии времён 1-й мировой войны
дензнак	денежный знак
детсад	детский сад
дзот	долговременная защищённая огневая точка
дифманометр	дифференциальный манометр
ДК	Дворец культуры
дм	дециметр
ДМТ	диметилтриптамин
ДНК	дезоксирибонуклеиновая кислота
ДНР	Донецкая Народная Республика
ДНТ	дачное некоммерческое товарищество
добробат	добровольческий батальон
ДОК	деревообрабатывающий комбинат
домком	домовый комитет
домработница	домашняя работница
допэмиссия	дополнительная эмиссия
ДОС	дом офицерского состава
ДОСААФ	Добровольное общество содействия армии, авиации и флоту
дот	долговременная огневая точка
ДПС	дорожно-патрульная служба
драмтеатр	драматический 
ДРЛО	дальнее радиолокационное обнаружение
ДСК	домостроительный комбинат
ДСО	добровольное спортивное общество
ДСП	древесно-стружечная плита
ДТП	дорожно-транспортное происшествие
ДФО	Дальневосточный федеральный округ
ДЦП	детский церебральный паралич
ДШБ	десантно-штурмовой батальон
ДЭЗ	дирекция по эксплуатации зданий
ДЭПЛ	дизель-электрическая подводная лодка
ДЮСШ	детско-юношеская спортивная школа
Евросоюз	Европейский союз
ЕГЭ	Единый государственный экзамен
ЁПС	ёмкость пожарная столитровая
ЕР	Единая Россия
ЕС	Европейский Союз
ЕТ	единый тариф
ЕТС	единая тарифная сетка
ЕЭК	Евразийская экономическая комиссия
ЕЭП	Единое Экономическое Пространство
ЕЭС	Европейское экономическое сообщество
ж/б	железобетонный
жб	железобетонный
жилкомхоз	Управление жилищно-коммунального хозяйства
ЖКО	жилищно-коммунальный отдел
ЖКУ	жилищно-коммунальные услуги
ЖКХ	жилищно-коммунальное хозяйство
ЖНВЛП	жизненно необходимые и важнейшие лекарственные препараты
ЖСК	жилищно-строительный кооператив
ЖЭК	жилищно-эксплуатационная контора
ЖЭУ	жилищно-эксплуатационное управление
завбаней	заведующий баней
завхоз	заведующий хозяйством
заксобрание	Законодательное Собрание
ЗАО	Закрытое акционерное общество
зарплата	заработная плата
ЗАТО	закрытое административно-территориальное образование
ЗБТ	закрытое бетта-тестирование
ЗВУР	задержка внутриутробного развития
ЗДИ	завод деревянных изделий
ЗНОП	зелёное насаждение общего пользования
ЗОЖ	здоровый образ жизни
зоогеография	зоологическая география
зоопарк	зоологический
зоосад	зоологический сад
ЗОУ	загородное оздоровительное учреждение
ЗППП	заболевания, передающиеся половым путём
зпт	запятая
ЗРД	завод ракетных двигателей
зрк	зенитный ракетный комплекс
