ЗРК	зенитный ракетный комплекс
ЗРПК	зенитный ракетно-пушечный комплекс
ЗРС	зенитная ракетная система
ЗРУ	закрытое
ЗС	законодательное собрание
ЗСТ	зона свободной торговли
ЗУ	запоминающее устройство
и т. п.	и тому подобное
ИВЦ	информационно-вычислительный центр
ИГИЛ	Исламское государство Ирака и Леванта
изо	изобразительное искусство
изолента	изоляционная лента
ИК	инфракрасный
имхо	по-моему
инвалюта	иностранная валюта
ИНН	идентификационный номер налогоплательщика
ИНС	искусственная нейронная сеть
инфраэкран	инфракрасный экран
ИО	исследование операций
ИП	индивидуальный предприниматель
ИПЦ	индекс потребительских цен
ИРА	ирландская республиканская армия
ИСЗ	искусственный спутник
ИСЛ	искусственный спутник
исполком	исполнительный комитет
истфак	исторический факультет
ИТ	информационные технологии
ИФА	иммуноферментный анализ
ИЧП	индивидуальное частное предприятие
к.и.н.	кандидат исторических наук
КА	космический аппарат
каб.-балк.	кабардино-балкарский
КамАЗ	Камский автомобильный завод
карнач	начальник караула
КАТЭК	Канско-Ачинский топливно-энергетический комплекс
КБ	конструкторское бюро
КБО	контроль безопасности объектов
КБР	Кабардино-Балкарская Республика
КВС	кислородно-водородная смесь
КВЦ	координационно-вычислительный центр
кг	килограмм
КГБ	Комитет государственной безопасности
кгс	килограмм-сила
КДЗС	комплект деталей для защиты сварных соединений
КДК	клеёная деревянная конструкция
КЗоТ	Кодекс законов о труде
КИМ	Коммунистический интернационал молодежи
ККМ	контрольно-кассовая машина
КМВ	Кавказские Минеральные Воды
КНДР	Корейская Народно-Демократическая Республика
книггер	книжный ниггер
КНР	Китайская Народная Республика
КО	керосин осветительный
КОБ	Концепция Общественной Безопасности
КОИН	coal oxygen injection
коллок	коллоквиум
комбат	командир батальона
комбед	комитет бедноты
комвзвода	командир взвода
комми	коммунист
комсомол	коммунистический союз молодёжи
конбат	контроль батарей
КП	командный пункт
КПБ	коммунистическая партия Белоруссии
кпд	коэффициент полезного действия
КПД	коэффициент полезного действия
КПЗ	камера предварительного заключения
КПК	карманный персональный компьютер
КПМ	контрольный пункт милиции
КПП	контрольно-пропускной пункт
КПРФ	Коммунистическая партия Российской Федерации
КПСС	Коммунистическая партия Советского Союза
КПУ	Коммунистическая партия Украины
КРУ	контрольно-ревизионное управление
КСВ	коэффициент стоячей волны
КССР	Казахская Советская Социалистическая Республика
КТ	компьютерная томография
КТО	контртеррористическая операция
Культпросвет	Культурно-просветительный отдел
курсач	курсовая работа
КФМ	Комитет по финансовому мониторингу
КЧР	Карачаево-Черкесская Республика
кэВ	килоэлектронвольт
ЛА	летательный аппарат
лаба	лабораторная
ЛГБТ	Лесбиянки
ЛДПР	Либерально-демократическая партия России
ЛДСП	ламинированная ДСП
лейкомасса	лейкоцитарная масса
лентопротяжка	лентопротяжный 
лесхоз	лесное хозяйство
ликбез	ликвидация безграмотности
лимфоузел	лимфатический 
лингвогеография	лингвистическая 
лингвоконструирование	лингвистическое 
литнегр	литературный негр
литраб	литературный раб
ЛК	лизинговая компания
ЛКМ	лако-красочный материал
ЛНР	Луганская Народная Республика
ЛНУ	Львовский национальный университет
ЛОВ	лампа обратной волны
ЛОХ	лодочная объёмная химическая защита
ЛПК	лесопромышленный комплекс
ЛПР	лицо принимающее решения
ЛСД	психоактивное вещество
ЛССР	Латвийская Социалистическая Советская Республика
ЛСТК	Лёгкие стальные тонкостенные конструкции
ЛТД	limited
ЛТП	лечебно-трудовой профилакторий
ЛФК	лечебная физическая культура
ЛЭП	линия электропередачи
м	метр
МАГАТЭ	Международное агентство по атомной энергии
магнитолевитация	магнитная левитация
матан	математический анализ
матстатистика	математическая статистика
матчасть	имущество
МБР	межконтинентальная баллистическая ракета
МВ-печь	микроволновая печь
МВД	министерство внутренних дел
МВФ	международный валютный фонд
МГБ	министерство государственной безопасности
МГД	магнитная гидродинамика
МГИМО	Московский государственный институт международных отношений
МГУ	Московский государственный университет
МДП	международные дорожные перевозки
МДФ	medium density fibreboard
медбрат	медицинский брат
мединститут	медицинский институт
медработник	медицинский работник
метиз	металлическое изделие
мехцех	механический цех
МИД	Министерство иностранных дел
микробус	легковой автомобиль с многоместным кузовом
микросгусток	микроскопический 
микшерная	микшерная 
миманс	мимический ансамбль
МИФИ	Московский инженерно-физический институт
Михалыч	Михайлович
МК	Московский комсомолец
МКАД	Московская кольцевая автомобильная дорога
МКП	механическая коробка передач
МКС	Международная космическая станция
МЛК	Московский логический кружок
МОВЗ	Миссия ЕС по обеспечению закона в Косово
МОС	металлоорганическое соединение
моторалли	мотоциклетное ралли
МОУ	муниципальное образовательное учреждение
МП	малое предприятие
МПС	министерство путей сообщения
мРНК	матричная РНК
МРОТ	минимальный размер оплаты труда
МРТ	магнитно-резонансная томография
мск	московское время
МСП	малое и среднее предпринимательство
МССР	Молдавская Советская Социалистическая Республика
МСЭ	Малая советская энциклопедия
МТ-ЛБ	многоцелевой транспортёр (тягач) лёгкий бронированный
МТЗ	Минский тракторный завод
МТС	Мобильные Телекоммуникационные Системы
МУДО	муниципальное учреждение дополнительного образования
МУП	муниципальное унитарное предприятие
МУР	Московский уголовный розыск
МФА	Международный фонетический алфавит
МХК	молодёжный хоккейный клуб 
МЧС	Министерство по чрезвычайным ситуациям
МШУ	машина шлифовальная угловая
МЭФ	машина электрическая фрезерная
НА	национальный альянс
НАД	никотинамидадениндинуклеотид
НАК	Национальный антитеррористический комитет
нал	наличные
НАО	Ненецкий автономный округ
нарком	народный комиссар
НАСА	Национальное управление США по воздухоплаванию и исследованию космического пространства
НАТО	Организация Североатлантического договора
НАФТА	nafta
нах	нахуй
нацлидер	национальный лидер
НВП	Начальная военная подготовка
НВФ	незаконное вооружённое формирование
НДКО	небанковская депозитно-кредитная организация
НДП	Национал-демократическая партия Германии
НДС	налог на добавленную стоимость
НДФЛ	налог на доходы физических лиц
нейросеть	нейронная сеть
нефрас	нефтяной растворитель
нефтешлам	нефтяной 
НЗ	Новый Завет
НЗЧ	наследственное заболевание человека
