НИИ	научно-исследовательский институт
НИОКР	научно-исследовательские и опытно-конструкторские работы
НИР	научно-исследовательская работа
НК	Налоговый
НКВД	Народный комиссариат внутренних дел
НКО	небанковская кредитная организация
НЛО	неопознанный летающий объект
НЛП	нейро-лингвистическое программирование
НМЛ	накопитель на магнитной ленте
НОД	наибольший общий делитель
НОК	наименьшее общее кратное
НОН	незаконный оборот наркотиков
НОС	некоммерческое общество садоводов
НПЗ	нефтеперерабатывающий завод
НПО	неправительственная организация
НПФ	негосударственный пенсионный фонд
НСО	Национал-Социалистическое общество
НТВ	независимое телевидение
НТО	научно-техническое общество
НТП	научно-технический прогресс
НТР	научно-техническая революция
НТЦ	научно-технический центр
НУРС	наземный управляемый реактивный снаряд
НЧ	низкие частоты
НШ	насос шестерённый
ОАЕ	Организация африканского единства
ОАО	открытое акционерное общество
ОАСУ	отраслевая АСУ
ОАЭ	Объединённые Арабские Эмираты
об-во	общество
ОБЖ	основы безопасности жизнедеятельности
обладминистрация	областная администрация
облдрамтеатр	областной драматический 
облисполком	областной исполнительный комитет
ОБС	недостоверный источник информации
ОБХСС	Отдел по борьбе с хищениями социалистической собственности
ОБЭП	Отдел по борьбе с экономическими преступлениями
ОВ	отравляющее вещество
ОВД	относительная величина динамики
ОВиК	отопление, вентиляция и кондиционирование
ОВИР	отдел виз и регистрации
ОГАМ	Одесский государственный археологический музей
ОДА	опорно-двигательный аппарат
ОДБ	объёмно-детонирующий боеприпас
ОЗУ	оперативное запоминающее устройство
ОИ	олимпийские игры
ОКБ	опытно-конструкторское бюро
ОКОНХ	общероссийский классификатор отраслей народного хозяйства
ОКОФ	Общероссийский классификатор основных фондов
ОКП	общероссийский классификатор продукции
ОКС	отдел капитального строительства
ОКТ	оптическая когерентная томография
ОМОН	отряд милиции особого назначения
ОМС	обязательное медицинское страхование
ООА	объектно-ориентированный анализ
ООД	общероссийское общественное движение
ООН	Организация Объединённых Наций
ООО	общество с ограниченной ответственностью
ООП	основная оперативная память
ОПАС	(группа) оказания (экстренной) помощи атомным станциям
ОПГ	организованная преступная группировка
оперативка	оперативная память
ОПОЯЗ	общество изучения поэтического языка
ОРВИ	острая респираторная вирусная инфекция
органопласт	композиционный материал
оргкомитет	организационный комитет
ОРЗ	острое респираторное заболевание
ОРКСЭ	основы религиозных культур и светской этики
ОРТ	Общественное Российское Телевидение
ОРУ	открытое распределительное устройство
орэм	оптовый рынок электроэнергии и мощности
ОРЯ	орудийный распределительный ящик
ОС	окружающая среда
ОСА	Объединение современных архитекторов
ОСАГО	обязательное страхование автогражданской ответственности
ОСЖД	
Особлаг	Особый лагерь
ОСУ	окно спаренное унифицированное
осч	особо чистый
ОХВ	опасное химическое вещество
ОЯТ	отработанное ядерное топливо
ПАВ	поверхностно-активное вещество
ПАЗ	Павловский автомобильный завод
ПАН	Польская академия наук
партбилет	партийный билет
партком	партийный комитет
парторганизация	партийная организация
ПАСО	поисковый аварийно-спасательный отряд
патологоанатомия	
ПВ	пограничные войска
ПВА	поливинилацетат
ПВМ	промышленный взрывчатый материал
ПВО	противовоздушная оборона
ПВХ	поливинилхлорид
ПДД	программа долгосрочной деятельности
ПДК	предельно допустимая концентрация
ПДУ	пульт дистанционного управления
пединститут	педагогический 
перфокарта	перфорированная карта
перфолента	перфорированная лента
ПетрГУ	Петрозаводский государственный университет
ПЖиВ	партия жуликов и воров
ПЗРК	переносной зенитный ракетный комплекс
ПЗС	прибор с зарядовой связью
ПЗУ	постоянное запоминающее устройство
ПИ	Политехнический институт
ПИН	Палеонтологический институт Российской академии наук
ПИФ	паевой инвестиционный фонд
пластмасса	пластическая масса
ПМГ	подвижная милицейская группа
ПМЖ	постоянное место жительства
ПМК	передвижная механизированная колонна
ПНКО	платежная небанковская кредитная организация
ПО	программное обеспечение
политкорректность	политическая корректность
полпред	полномочный представитель
помреж	помощник режиссёра
порножурнал	порнографический журнал
ППКС	подпишусь под каждым словом
ППС	патрульно-постовая служба
ппц	полный пипец
ППЦ	полуприцеп-цистерна
ППШ	пистолет-пулемёт Шпагина
пр-во	производство
ПРД	пороховой ракетный двигатель
предоплата	предварительная оплата
предусилитель	предварительный усилитель
ПРИ	параметрическое рентгеновское излучение
продпаёк	продовольственный 
продразвёрстка	продовольственная развёрстка
продэмбарго	продовольственное
производное	производное 
промальп	промышленный альпинизм
промкомбинат	промышленный 
психбольница	психиатрическая больница
психотип	психологический 
ПСМ	паспорт самоходной машины
ПСУЛ	предварительно сжатая уплотнительная лента
ПТВ	протромбиновое время
ПТРК	противотанковый ракетный комплекс
ПТУ	профессиональное техническое училище
ПУ	профессиональное училище
пусковик	пусковое 
ПУХТО	пункт утилизации хозяйственных твердых отходов
пьезорезонатор	пьезоэлектрический 
пьезоэффект	пьезоэлектрический 
ПЭС	приливная электростанция
ПЭТ	позитронно-эмиссионная томография
р-н	район
равнорассеянный	равномерно рассеянный
радиоэлемент	 радиоактивный элемент
разведслужба	разведывательная служба
райвоенкомат	районный военный комиссариат
райДЕЗ	районная дирекция единого заказчика
райжилотдел	районный жилищный 
райисполком	районный исполнительный комитет
районо	районный отдел народного образования
РАН	Российская академия наук
РАО	Российское акционерное общество
РБ	Республика Башкортостан
РВД	рукав высокого давления
РД	ракетный двигатель
РДСТ	ракетный двигатель смешанного топлива
регистрпункт	регистрационный 
ремкомплект	ремонтный комплект
РЖА	районное жилищное агентство
РЗЭ	редкоземельный элемент
РИА	Российское Информационное Агентство
РККА	Рабоче-крестьянская Красная Армия
РЛО	ранцевый лесной огнетушитель
РЛС	радиолокационная станция
РНД	Ростов-на-Дону
РНК	рибонуклеиновая кислота
РНКО	расчетная небанковская кредитная организация
роддом	родильный дом
РОН	регистр общего назначения
РОНО	районный отдел народного образования
Росгосстрах	Российская государственная страховая 
РПЦ	Русская Православная Церковь
РПЦЗ	Русская православная церковь зарубежья
РРГ	регулятор расхода газа
РСДРП	Российская социал-демократическая рабочая партия
РСПП	Российский союз промышленников и предпринимателей
РСФСР	Российская Советская Федеративная Социалистическая Республика
РТР	Российское теле- и радиовещание
руб.	рубль
РУБОП	Региональное управление по борьбе с организованной преступностью
РУД	рычаг управления двигателем
рудстойка	рудничная стойка
РФ	Российская Федерация
РЭА	радиоэлектронная аппаратура
РЭУ	ремонтно-эксплутационное управление
РЭЧ	районная эксплуатационная часть
сандень	санитарный 
САР	Сирийская Арабская Республика
САРП	система автоматизированной радиолокационной проводки
