САС	система аварийного спасения
САУ	самоходная артиллерийская установка
СБ	Совет безопасности
СВ	спальный вагон
св.	свыше
СВН	средства воздушного нападения
СВР	служба внешней разведки
СВУ	самодельное взрывное устройство
СГС	сантиметр, грамм, секунда
СДЮСШОР	специализированная детско-юношеская спортивная школа олимпийского резерва
СДЯВ	сильнодействующее ядовитое вещество
сексот	секретный сотрудник
сельпо	сельское потребительское общество
сельхозпредприятие	
сетеполотно	сетевое полотно
СЖМ	Союз журналистов Москвы
СЗ	северо-запад
СИ	Система Интернациональная
СИЗ	средство индивидуальной защиты
СИЗК	средство индивидуальной защиты кожи
СИЗОД	средство индивидуальной защиты органов дыхания
силовозбудитель	возбудитель силы
симистор	симметричный триодный тиристор
синхросигнал	синхронизирующий 
ситком	ситуационная комедия
СиЧ	Сербия и Черногория
СИЧ	спектрометрия излучения человека
СК	следственный комитет
СКР	следственный комитет россии
СКА	спортивный клуб армии
СКБ	специальное конструкторское бюро
СКЗИ	средство криптографической защиты информации
СКК	смешанная контрольная комиссия
скорая помощь	скорая медицинская помощь
СЛД	Союз левых демократических сил
см	сантиметр
СМИ	средство массовой информации
СМК	средства массовой коммуникации
СМС	синтетическое моющее средство.
СМУ	строительно-монтажное управление
СНГ	Содружество Независимых Государств
СНИЛС	страховой номер индивидуального лицевого счета
СО	сторожевой отряд
собес	социальное обеспечение
собкор	собственный корреспондент
СОБР	специальный отряд быстрого реагирования
совхоз	советское хозяйство
СОИ	стратегическая оборонная инициатива
СОМО	сухой обезжиренный молочный остаток
СОН	система оптического наблюдения
СОРМ	система оперативно-розыскных мероприятий
СОТ	садово-огородное товарищество
социолект	социальный диалект
социотип	cоционический 
соцсеть	социальная сеть
СОШ	средняя общеобразовательная школа
соэволюция	совместная 
СП	совместное предприятие
СПб	Санкт-Петербург
СПГ	сжиженный природный газ
спецвыпуск	специальный выпуск
спецзадание	специальное задание
спецзаказ	специальный заказ
спецзапор	специальный запор
спецкор	специальный корреспондент
спецмониторинговый	специальный мониторинговый
спецотдел	специальный отдел
спецсредство	специальное средство
спецтюрьма	специальная 
спецэкспортёр	экспортёр
СПИ	Социалистическая партия Индии
СПИД	синдром приобретённого иммунодефицита
спортинвентарь	спортивный инвентарь
спорткомитет	спортивный
СПС	союз правых сил
СПТУ	сельское профессионально-техническое училище
СПЯ	синдром поликистозных яичников
ССО	студенческий строительный отряд
ССР	Советская социалистическая республика
СССР	Союз Советских Социалистических Республик
ССУ	седельно-сцепное устройство
Степлаг	Степной лагерь
СТО	специальная теория относительности
стройбат	строительный батальон
стройлес	строительный 
СТС	Сеть телевизионных станций
СУ	силовая установка
СУБД	система управления базой данных
судмедэксперт	судебно-медицинский эксперт
СУС	система управления содержимым
сухпаёк	сухой паек
СФ	совет федераций
СФРЮ	Социалистическая Федеративная Республика Югославия
СЦУ	система целеуказания
США	Соединённые Штаты Америки
т.	товарищ
т. е.	то есть
ТБК	торгово-бытовой комплекс
ТВ	телевизионное вещание
ТВ-аппаратура	телевизионная аппаратура
ТВ-приставка	телевизионная приставка
ТВД	турбовинтовой двигатель
ТВС	тепловыделяющая сборка
ТВЦ	телевизионное вещание Центр
твэл	тепловыделяющий элемент
ТГК	тетрагидроканнабинол
ТГТУ	Тамбовский государственный технический университет
телеинтервью	телевизионное интервью
телеменю	телевизионное 
телеспектакль	телевизионный спектакль
теормеханика	теоретическая 
теракт	террористический акт
тервер	теория вероятностей
термообработка	термическая обработка
техбюро	техническое 
техзона	техническая 
техномир	технический 
техсредство	техническое средство
ТиНАО	Троицкий и Новомосковский административные округа
ТИС	трубопроводное изолирующее соединение
ТНТ	твоё новое телевидение
тол	тринитротолуол
ТОО	товарищество с ограниченной ответственностью
топ-100	сто лучших
ТПП	торгово-промышленная палата
ТПУ	транспортно-пересадочный узел
транс	трансгендер
Транссиб	Транссибирская железнодорожная 
ТРКИ	Тест по русскому языку как иностранному
тРНК	транспортная рибонуклеиновая кислота
ТРП	тормозная рычажная передача
труддисциплина	трудовая 
ТСЖ	товарищество собственников жилья
ТТЛ	транзисторно-транзисторная логика
ТТП	Транстихоокеанское партнёрство
турпоездка	туристическая поездка
