ФСК	футбольно-спортивный клуб
ФСКН	Федеральная служба по контролю за оборотом наркотиков
ФСНП	Федеральная служба налоговой полиции
ФСС	фонд социального страхования
ФСФМ	Федеральная служба по финансовому мониторингу
ФШМ	Федеральные Штаты Микронезии
ФЭМП	формирование элементарных математических представлений
ФЭП	Фонд эффективной политики
фэр	физический эквивалент рентгена
ФЭР	физический эквивалент рентгена
ХБМ	хочу быть матушкой
ХГАПП	Харьковское Государственное Авиационное Производственное Предприятие
хз	хрен знает
химзавод	химический завод
химреагент	химический реагент
химстойкий	химически стойкий 
химстойкость	химическая стойкость
хорар	хорарный 
худрук	художественный руководитель
хч	химически чистый
ЦАО	Центральный административный округ 
ЦАР	Центрально-Африканская Республика
ЦБ	центральный банк
ЦВМ	цифровая вычислительная машина
ЦГВС	централизованное горячее водоснабжение
ЦИК	Центральная Избирательная Комиссия
цифрофот	цифровой фотоаппарат
ЦК	Центральный комитет
ЦК ВЛКСМ	Центральный Комитет Всесоюзного Ленинского коммунистического союза молодёжи
ЦК КПСС	Центральный комитет Коммунистической партии Советского Союза
ЦКБ	Центральное конструкторское бюро
ЦМС	цитоплазматическая мужская стерильность
ЦНИИ	центральный научно-исследовательский институт
ЦНС	центральная нервная система
ЦП	центральный процессор
ЦПКиО	Центральный парк культуры и отдыха
ЦРУ	Центральное разведывательное управление
ЦСКА	Центральный спортивный клуб армии
ЦТ	Центральное телевидение
ЦТП	Центральный тепловой пункт
ЦУ	ценное указание
ЦФО	центр финансовой ответственности
цэ	целка
ч.т.д.	что и требовалось доказать
ч	час
ЧАВО	частые вопросы
ЧВК	частная военная компания
чда	чистый для анализа
ЧИК	частная инвестиционная компания
ЧК	Чрезвычайная комиссия по борьбе с контрреволюцией и саботажем
ЧМ	чемпионат мира
ЧМТ	черепно-мозговая травма
ЧОН	части особого назначения
ЧП	частное предприятие
ЧПУ	числовое программное управление
ЧС	чрезвычайная ситуация
ЧССР	Чехословацкая Социалистическая Республика
ЧСФР	Чешская и Словацкая Федеративная Республика
ЧФ	Черноморский флот
ЧЭЗ	Челябинский электродный завод
ШИМ	широтно-импульсная модуляция
ШИП	широтно-импульсный преобразователь
ШКИД	школа-коммуна имени Достоевского
ШОТ	шкаф оперативного тока
ШРУС	шарнир равных угловых скоростей
штрафбат	штафной батальон
штрафстоянка	штрафная стоянка
ШУОТ	шкаф управления оперативным током
эвакогоспиталь	эвакуационный госпиталь
эвакопункт	эвакуационный пункт
ЭВМ	электронно-вычислительная машина
ЭВР	электровоздухораспределитель
ЭДС	электродвижущая сила
ЭДТА	этилендиаминтетрауксусная кислота
ЭКГ	электрокардиограмма
экономгеография	экономическая география
ЭКЮ	
эл.	электрический
электив	элективный 
электроёмкость	
электросилоизмеритель	электрический силоизмеритель
электросистема	электрическая 
электротензометр	электрический тензометр
электроток	электрический ток
эмалепроволока	эмалированная 
энергоисточник	
энергоструктура	энергетическая 
ЭПК	электропневматический клапан
ЭПО	эритропоэтин
ЭПТ	электропневматический тормоз
ЭСМИ	электронные средства массовой информации
ЭТ	экстренное торможение
этнокультура	этническая культура
ЭЦП	электронно-цифровая подпись
ЭЭГ	электроэнцефалография
Ю	юг
ЮАР	Южноафриканская Республика
ЮДМ	Юные друзья милиции
ЮДП	Юные друзья пограничников
ЮЖОПС	Южный округ путей сообщения
ЮНЕСКО	межправительственная организация, специализированное учреждение ООН
ЮНКТАД	Конференция ООН по торговле и развитию
юруслуга	юридическая услуга
ЯВУ	ящик
яз-ние	языкознание
яз.	язык
ЯК	самолёт конструкции А.С.Яковлева
янв.	январь
яп.	японский
япон.	японский
ящ.	ящиков
